CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O	CHEMBL628
NC(=O)c1cncc(c1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2OC([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	CHEMBL610377
CCOC(=O)C1C2CCC(CC1c1ccc(I)cc1)N2C	CHEMBL23714
COC(=O)C1C(N=C(SC)N=C1C)c1ccccc1SC	CHEMBL279029
CSC1=NC(C)=C2C([N-]1)c1cccc(c1SCCCCCOC2=[OH+])[N+]([O-])=O	CHEMBL23692
CSC1=NC(C2=C(COC2=[OH+])[N-]1)c1cccc(c1)[N+]([O-])=O	CHEMBL23720
CSC1=NC2C(=C(C)[N-]1)C(=[OH+])OCCCCCSc1ccc(cc21)[N+]([O-])=O	CHEMBL25763
CSC1=NC2=C(C([N-]1)c1cccc(c1SC)[N+]([O-])=O)C(=[OH+])OC2	CHEMBL22705
COC(=O)C1=C(C)[N-]C(SC)=[NH+]C1c1cccc(c1SC)[N+]([O-])=O	CHEMBL280926
COC(=O)C1C(N=C(SC)N=C1C)c1cc(ccc1SC)[N+]([O-])=O	CHEMBL23451
COC(=[OH+])C1=C(C)[N-]C(C)=C(C1c1ccccc1C(F)(F)F)[N+]([O-])=O	CHEMBL105672CHEMBL283013
CSC1=NC(c2c(N1)coc2O)c1ccccc1SC	CHEMBL22704
COC(=O)C1C(N=C(SC)N=C1C)c1cccc(c1)[N+]([O-])=O	CHEMBL282279
CSC1=NC2C(C(C)=N1)C(=O)OCCCCCSc1ccccc21	CHEMBL282706
CNCC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]1CSS[C@@H]2C[C@@H](N(C2)C(=O)[C@@H](Cc2cnc[nH]2)NC1=O)C(=O)N[C@@H](Cc1ccccc1)C(O)=O	CHEMBL406170
CNCC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]1CCSS[C@@H]2C[C@@H](N(C2)C(=O)[C@@H](Cc2cnc[nH]2)NC1=O)C(=O)N[C@@H](Cc1ccccc1)C(O)=O	CHEMBL415025
CNCC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](Cc1ccccc1)C(O)=O	CHEMBL266899
CNCC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](Cc1ccccc1)C(O)=O	CHEMBL414918
CNCC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]1CCSS[C@@H]2C[C@H](N(C2)C(=O)[C@@H](Cc2cnc[nH]2)NC1=O)C(=O)N[C@@H](Cc1ccccc1)C(O)=O	CHEMBL216678
Oc1cc2CCNC[C@H](c3ccccc3)c2cc1O	CHEMBL1467585CHEMBL24077
OC(=O)c1cccnc1C(O)=O	CHEMBL286204
Oc1cc(O)c2C[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@H](Oc2c1)c1cc(O)c(O)c(O)c1	CHEMBL297453
CO[C@@H]1O[C@H](COS([O-])(=O)=O)[C@@H](O[C@H]2O[C@H]([C@H](O[C@@H]3O[C@H](COS([O-])(=O)=O)[C@@H](O[C@H]4O[C@@H]([C@@H](O[C@@H]5O[C@@H](COS([O-])(=O)=O)[C@H](OC)[C@@H](OC)[C@@H]5NS([O-])(=O)=O)[C@@H](OC)[C@@H]4OC)C([O-])=O)[C@@H](OS([O-])(=O)=O)[C@@H]3OS([O-])(=O)=O)[C@@H](OC)[C@@H]2OS([O-])(=O)=O)C([O-])=O)[C@H](OC)[C@H]1NS([O-])(=O)=O	CHEMBL1909451
OC1OC(COS(=O)(=O)O[Na])C(OC2OC(C(OC3OC(COS(=O)(=O)O[Na])C(OC4OC(C(OC5OC(COS(=O)(=O)O[Na])C(O)C(O)C5NS(=O)(=O)O[Na])C(O)C4O)C([O-])=O)C(OS(=O)(=O)O[Na])C3OS(=O)(=O)O[Na])C(O)C2NS(=O)(=O)O[Na])C([O-])=O)C(O)C1NS(=O)(=O)O[Na]	CHEMBL609990
CCCCS(=O)(=O)N[C@@H](CNC(=O)c1cc2C(=O)N(CCC3CCNCC3)CCCn2n1)C(O)=O	CHEMBL300525
OC(=O)CCNC(=O)c1cc2C(=O)N(CCC3CCNCC3)CCn2n1	CHEMBL288521CHEMBL540024
CCCCS(=O)(=O)N[C@@H](CNC(=O)c1cc2C(=O)N(CCC3CCNCC3)CCn2n1)C(O)=O	CHEMBL40502
CN(C1CCCCC1)c1ncnc2[nH]ccc12	CHEMBL1630770
Oc1c(cccc1-c1cccc(c1)C(F)(F)P(O)(O)=O)C1CCCCC1	CHEMBL2431708
O[C@H](c1cccc(c1)-c1ccc(cc1)C(=O)P(O)(O)O)c1ccc(Cl)c(Cl)c1	CHEMBL2431664CHEMBL2431666
O[C@@H](c1cccc(c1)-c1ccc(cc1)C(=O)P(O)(O)O)c1ccc(Cl)c(Cl)c1	CHEMBL2431665CHEMBL2431667
COc1ncc(-c2ccc3c(Nc4cc(Oc5cc(F)cc(F)c5)cc(c4)C(O)=O)c(cnc3c2)S(=O)(=O)NC2CC2)c(OC)n1	CHEMBL3335794
COc1ccc(CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc2ccc(NC(=O)C(O)=O)cc2)NC(=O)c2ccccc2)cc1	CHEMBL48504
COc1ccc(CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc2ccc(cc2)C(O)C(O)=O)NC(=O)Cc2cccc3ccccc23)cc1	CHEMBL298119
COc1ccc(CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc2ccc(NC(=O)C(O)=O)cc2)NC(C)=O)cc1	CHEMBL51837
COc1ccc(CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc2ccc(CC(O)=O)cc2)NC(C)=O)cc1	CHEMBL48718
COc1ccc(CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc2ccc(cc2)C(O)C(O)=O)NC(C)=O)cc1	CHEMBL48498
COc1ccc(CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc2ccc(cc2)C(=O)C(O)=O)NC(C)=O)cc1	CHEMBL300974
COc1ccc(CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc2ccc(NC(=O)C(O)=O)cc2)NC(=O)Cc2ccc3ccccc3c2)cc1	CHEMBL298117
COc1ccc(CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc2ccc(CS(O)(=O)=O)cc2)NC(=O)Cc2cccc3ccccc23)cc1	CHEMBL49707
COc1ccc(CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc2ccc(cc2)C(F)(F)C(O)=O)NC(C)=O)cc1	CHEMBL298504
CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc1ccc(CC(O)=O)cc1)NC(C)=O)C(O)=O	CHEMBL1790311
COc1ccc(CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc2ccc(NC(=O)C(O)=O)cc2)NC(=O)Cc2ccccc2)cc1	CHEMBL48322
COc1ccc(CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc2ccc(OP(O)(O)=O)cc2)NC(=O)Cc2cccc3ccccc23)cc1	CHEMBL50965
COc1ccc(CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc2ccc(NC(=O)C(O)=O)cc2)NC(=O)CCc2ccccc2)cc1	CHEMBL298118
COc1ccc(CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc2ccc(CCC(O)=O)cc2)NC(C)=O)cc1	CHEMBL48320
COc1ccc(CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc2ccc(CC(O)=O)cc2)NC(=O)Cc2cccc3ccccc23)cc1	CHEMBL50913
COc1ccc(CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc2ccc(CS(O)(=O)=O)cc2)NC(C)=O)cc1	CHEMBL299083
NC(=O)c1ncn(C2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)c1C=CC(=O)N(CC1=Nc2c(CC1)nc(N)[nH]c2=O)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O	CHEMBL608337
Nc1ccc2c(-c3ccc(cc3C([O-])=O)C(=O)NCCNC(=O)COc3ccc(CCCn4ncc5c4nc(N)n4nc(nc54)-c4ccco4)cc3)c3ccc(=[NH2+])c(c3oc2c1S([O-])(=O)=O)S([O-])(=O)=O	CHEMBL1771809
CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(C)=O)C(N)=O	CHEMBL1793996
Cc1cc(=O)n([nH]1)-c1ccc(cc1)C(=O)NCCCNC(=O)C(Cc1ccc(OP(O)(O)=O)cc1)NC(=O)Cc1cc(=O)oc2cc(O)ccc12	CHEMBL277350
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(O)=O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC1=O)C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(N)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCCNC(N)=N)NC(C)=O	CHEMBL4072295
NCc1cc(=O)[nH]o1	CHEMBL273481
CNC(=S)C1(CCC1)C(=O)c1ccc(cc1)-n1ccnc1	CHEMBL47088
COc1ccc(Cn2ccc(C)c(NC(=O)C(Cc3ccc(CC(O)=O)cc3)NC(C)=O)c2=O)cc1	CHEMBL77676
COc1ccc(Cn2ccc(C)c(NC(=O)[C@@H](Cc3ccc(cc3)C(C)(C)C(O)=O)NC(=O)C(C)(C)c3ccc4ccccc4c3)c2=O)cc1	CHEMBL1907668
COc1ccc(Cn2ccc(C)c(NC(=O)C(Cc3ccc(cc3)C(C)(C)C(O)=O)NC(=O)C(C)(C)c3cccc4ccccc34)c2=O)cc1	CHEMBL78897
COc1ccc(Cn2cccc(NC(=O)C(Cc3ccc(CC(O)=O)cc3)NC(=O)Cc3cccc4ccccc34)c2=O)cc1	CHEMBL312396
COc1ccc(Cn2ccc(C)c(NC(=O)C(Cc3ccc(CC(O)=O)cc3)NC(=O)Cc3cccc4ccccc34)c2=O)cc1	CHEMBL77967
COc1ccc(Cn2ccc(C)c(NC(=O)C(Cc3ccc(cc3)C(C)(C)C(O)=O)NC(=O)Cc3cccc4ccccc34)c2=O)cc1	CHEMBL309855
COc1ccc(Cn2ccc(C)c(NC(=O)C(Cc3ccc(cc3)C(C)(C)C(O)=O)NC(=O)Cc3ccc4ccccc4c3)c2=O)cc1	CHEMBL79648
COC(=O)[C@]12CCCN1C(=O)[C@@](Cc1ccccc1)(CC2)NC(=O)OCc1ccccc1	CHEMBL329797
COC(=O)[C@]12CCCN1C(=O)[C@@](Cc1ccc3ccccc3c1)(CC2)NC(=O)OCc1ccccc1	CHEMBL313327
COC(=O)[C@]12CCCN1C(=O)[C@@](Cc1ccccc1)(CC2)NC(=O)OC(C)(C)C	CHEMBL88028
COC(=O)[C@]12CCCN1C(=O)[C@@](Cc1ccc3ccccc3c1)(CC2)NC(=O)OC(C)(C)C	CHEMBL315033
COC(=O)[C@]12CCCN1C(=O)[C@@](Cc1ccc3ccccc3c1)(CC2)NC(C)=O	CHEMBL314456
COC(=O)[C@]12CCCN1C[C@@](Cc1ccc3ccccc3c1)(CC2)NC(=O)OC(C)(C)C	CHEMBL89881
C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C	CHEMBL846
C[C@@H](COc1ccc(cc1)C(C)(C)O)C1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C	CHEMBL318267
C[C@@H](CSc1ccc(cc1)C(C)(C)O)C1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C	CHEMBL318617
CCCCCCSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O	CHEMBL345292
CCCCCCCC\C=C\CCCCCCCC(O)=O	CHEMBL460657
CCCCCCCCCCCCCCCCCC(O)=O	CHEMBL46403
C[C@@H]1[C@@H]2Cc3ccc(O)cc3[C@@]1(C)CCN2CC=C(C)C	CHEMBL60542
C[C@H](NC(C)=O)C(=O)N[C@H](C)C(=O)N1CCCC1C(=O)N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(cc1)[N+]([O-])=O	CHEMBL434245
CCOP(=O)(CNC(=O)[C@H](C)NC(C)=O)N1CCCC1C(=O)N[C@H](CNc1ccc(cc1)[N+]([O-])=O)Cc1ccccc1	CHEMBL126876
CCOP(=O)(CNC(=O)[C@H](C)NC(=O)CCC(O)=O)N1CCCC1C(=O)N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(cc1)[N+]([O-])=O	CHEMBL126888
C[C@H](NC(C)=O)C(=O)NCC(=O)C(=O)N1CCCC1C(=O)N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(cc1)[N+]([O-])=O	CHEMBL126349
Nc1c(cc(Nc2ccc(Nc3nc(Cl)nc(Nc4ccccc4S([O-])(=O)=O)n3)c(c2)S([O-])(=O)=O)c2C(=O)c3ccccc3C(=O)c12)S([O-])(=O)=O	CHEMBL134193
Nc1c2C(=O)c3ccccc3C(=O)c2c(Nc2cccc(c2)S(=O)(=O)C=C)cc1S([O-])(=O)=O	CHEMBL130059
Cc1cc(C)c(Nc2cc(c(N)c3C(=O)c4ccccc4C(=O)c23)S([O-])(=O)=O)c(C)c1	CHEMBL133576
[O-]S(=O)(=O)c1cc(ccc1\C=C\c1ccc(cc1S([O-])(=O)=O)N=C=S)N=C=S	CHEMBL133930
O=c1c(C#N)c(ccn1CC1CC1)N1CCC(CC1)c1ccccc1	CHEMBL3337510
Cc1c2C(=O)C(Cc2cc(OCc2cccc(c2)-c2ccc(cc2)C(O)=O)c1C)C1CCCC1	CHEMBL593013
Cc1cc(cc2CN(Cc3ccc(OC(F)(F)F)cc3)C(=O)c12)-c1nc(CN2CCNCC2)no1	CHEMBL3937907
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](C)N)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCCCNC(=O)c1c(cccc1-c1c2ccc(O)cc2oc2cc(=O)ccc12)C(=O)ON1C(=O)CCC1=O)C(O)=O	CHEMBL404788
CC[C@H](C)[C@H](NC(=O)[C@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](C)N)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCCCN)C(O)=O	CHEMBL414396
C[C@H](N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(O)=O	CHEMBL310987
C[C@H](N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)NC(C(C)CCCNC(=O)c1c(cccc1-c1c2ccc(O)cc2oc2cc(=O)ccc12)C(=O)ON1C(=O)CCC1=O)C(O)=O	CHEMBL384327
CC[N+](C)(CC)CCCn1c(-c2ccccc2)c2cc(N)ccc2c2ccc(=[NH2+])cc12	CHEMBL345124
Oc1ccc(cc1)-c1ccccc1	CHEMBL73380
Oc1ccc(cc1)-c1cccc(CC#N)c1	CHEMBL118512
Cc1cccc(N(C(=O)C(O)=O)c2ccccc2C(O)=O)c1C	CHEMBL65459
Nc1c2CCCCc2nc2ccccc12	CHEMBL1337960CHEMBL95
OC(=O)C(=O)N(c1ccccc1C(O)=O)c1cccc2ccccc12	CHEMBL64934
[O-]S(=O)(=O)c1ccc2c(cc(cc2c1)S([O-])(=O)=O)S([O-])(=O)=O	CHEMBL316894
CCCCNC(=O)c1cn(nn1)C1C(O)C(CO)OC(SC)C1O	CHEMBL175745
CSC1OC(CO)C(O)C(NC(=O)c2ccccc2)C1O	CHEMBL175842
CSC1OC(CO)C(O)C(C1O)n1cc(nn1)-c1ccccc1	CHEMBL367079
CSC1OC(CO)C(O)C(C1O)n1cc(nn1)C(=O)NCc1ccccc1	CHEMBL369683
CCCc1cn(nn1)C1C(O)C(CO)OC(SC)C1O	CHEMBL174503
CSC1OC(CO)C(O)C(C1O)n1cc(nn1)C(=O)NCCCO	CHEMBL367122
COC(=O)c1cn(nn1)C1C(O)C(CO)OC(SC)C1O	CHEMBL178845
CNC(=O)c1cn(nn1)C1C(O)C(CO)OC(SC)C1O	CHEMBL175795
CSC1OC(CO)C(O)C(C1O)n1cc(nn1)C1(O)CCCCC1	CHEMBL177243
CSC1OC(CO)C(O)C(C1O)n1cc(nn1)C(=O)NCCN1CCOCC1	CHEMBL176237
CSC1OC(CO)C(O)C(NC(=O)c2ccc3ccccc3c2)C1O	CHEMBL179208
N[C@@H]([C@H]1[C@@H](CO)C1C(O)=O)C(O)=O	CHEMBL180822
F[B-]1(F)n2c(ccc2-c2cccs2)C=C2C=CC(CCC(=O)NCCCCCCN3CCN(CC(=O)N4c5ccccc5C(=O)Nc5cccnc45)CC3)=[N+]12	CHEMBL2368393
C[N+]1=C(CCC(=O)NCCCCCC(=O)NCCCCN2CCN(CC(=O)N3c4ccccc4C(=O)Nc4cccnc34)CC2)C=C\C1=C\c1ccc(-c2cccs2)n1[BH-](F)F	CHEMBL365702
F[B-]1(F)n2c(ccc2-c2cccs2)C=C2C=CC(CCC(=O)NCCOCCOCCOCCOCCOCCOCCN3CCN(CC(=O)N4c5ccccc5C(=O)Nc5cccnc45)CC3)=[N+]12	CHEMBL2368392
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc23)CC1	CHEMBL9967
CC[C@@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CCCN=C(N)N)C(=O)N[C@@H](CC(C)C)C(O)=O	CHEMBL342252
Cn1c2nc[nH]c2c(=O)n(C)c1=O	CHEMBL190
Cn1cnc2n(C)c(=O)n(C)c(=O)c12	CHEMBL113
CC(C)Cn1c2nc[nH]c2c(=O)n(C)c1=O	CHEMBL275084
NCc1nc2ccccc2s1	CHEMBL1770734
CO[C@H]1C[C@H](C)Cc2c(O)c(NC(=O)C(C)=CC=C[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)cc(O)c2N=CCF	CHEMBL421647
CO[C@H]1C[C@H](C)Cc2c(O)c(NC(=O)C(C)=CC=C[C@H](OC)[C@@H](OC(=O)NO)\C(C)=C\[C@H](C)[C@H]1O)cc(O)c2N=CCN(C)C	CHEMBL370404
CO[C@H]1CC(C)=Cc2c(N)c(O)cc(NC(=O)C(C)=CC=C[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)c2O	CHEMBL339231
CO[C@H]1CC(C)=Cc2c(O)c(NC(=O)C(C)=CC=C[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)cc(O)c2N1CCC1	CHEMBL433670
CCCCNc1ccc(cc1)C(=O)OCC[N+](C)(C)CCCC	CHEMBL195005
CCCCNc1ccc(cc1)C(=O)OCC[N+](C)(C)CCC[NH3+]	CHEMBL196995
CCCCNc1ccc(cc1)C(=O)OCCN(C)C	CHEMBL698
CCCCNc1ccc(cc1)C(=O)OCC[N+](C)(C)CCC[NH2+]CCC[NH3+]	CHEMBL197404
CCO[C@@H](Cc1ccc(OCC=C(c2ccccc2)c2ccccc2)cc1)C(O)=O	CHEMBL314483
CCO[C@@H](Cc1ccc(OCCn2c3ccccc3c3ccccc23)cc1)C(O)=O	CHEMBL86658
CCO[C@@H](Cc1ccc(OCC=C(c2ccc(cc2)-c2ccccc2)c2ccc(cc2)-c2ccccc2)cc1)C(O)=O	CHEMBL328455
CCOC(Cc1ccc(OCCN(C)C2=Nc3ccccc3Sc3ccccc23)cc1)C(O)=O	CHEMBL194411
OC(=O)[C@@H](CN1CCC(CC1)OC1c2ccccc2CCc2ccccc12)NC(=O)OCc1ccccc1	CHEMBL196220
CN1CCC(CC1)=C1c2ccccc2C=Cc2ccccc12	CHEMBL516
OC(=O)CCN1C(=S)S\C(C1=O)=C1/C(=O)Nc2ccc(Cl)cc12	CHEMBL4061302
N[C@@H](Cn1cc(I)c(=O)n(Cc2ccccc2C(O)=O)c1=O)C(O)=O	CHEMBL427186
CC(=C)[C@H]1CN[C@@H]([C@H]1CC(O)=O)C(O)=O	CHEMBL275040
N[C@@H](Cn1ccc(=O)n(CCCC(O)=O)c1=O)C(O)=O	CHEMBL198511
N[C@@H](Cn1cc(I)c(=O)n(Cc2ccc(cc2)C(O)=O)c1=O)C(O)=O	CHEMBL200309
NC(Cn1ccc(=O)n(Cc2ccccc2C(O)=O)c1=O)C(O)=O	CHEMBL372631
N[C@@H](Cn1ccc(=O)n(Cc2cccc(c2)C(O)=O)c1=O)C(O)=O	CHEMBL371944
N[C@@H](Cn1cc(I)c(=O)n(CCC(O)=O)c1=O)C(O)=O	CHEMBL380804
O=NCc1ccc(cc1)-c1[nH]c(nc1-c1ccncc1)-c1ccccc1	CHEMBL200783
Clc1cc(ccc1CN=O)-c1[nH]c(nc1-c1ccncc1)-c1ccccc1	CHEMBL200412
CC(C)(CNS(C)(=O)=O)c1nc(c([nH]1)-c1ccc(Cl)c(O)c1)-c1ccncc1	CHEMBL381447
Oc1cccc(c1)-c1[nH]c(nc1-c1ccncc1)-c1ccccc1	CHEMBL304624
Nc1nccc(n1)-c1nc([nH]c1-c1ccc(Cl)c(O)c1)-c1ccccc1	CHEMBL200258
Oc1ccc(cc1)-c1[nH]c(nc1-c1ccncc1)-c1ccccc1	CHEMBL68215
Oc1cc(ccc1Cl)-c1[nH]c(nc1-c1ccncn1)-c1ccccc1	CHEMBL370353
OCc1ccc(cc1O)-c1[nH]c(nc1-c1ccncc1)-c1ccccc1	CHEMBL427196
O=NC1CCCc2cc(ccc12)-c1[nH]c(nc1-c1ccncc1)-c1ccccc1	CHEMBL200164
NCc1ccc(cc1)-c1nc(c([nH]1)-c1ccc(Cl)c(O)c1)-c1ccncc1	CHEMBL200320
Oc1cc(ccc1Cl)-c1[nH]c(nc1-c1ccnnc1)-c1ccccc1	CHEMBL381421
CC(C)(CNC(=O)Nc1ccc(Cl)cc1)c1nc(c([nH]1)-c1ccc(Cl)c(O)c1)-c1ccncc1	CHEMBL200863
CC(C)(C)c1nc(c([nH]1)-c1ccc(Cl)c(O)c1)-c1ccncc1	CHEMBL200172
O=NC1CCc2cc(ccc12)-c1[nH]c(nc1-c1ccncc1)-c1ccccc1	CHEMBL372543
ONC(=N)c1ccc(cc1)-c1[nH]c(nc1-c1ccncc1)-c1ccccc1	CHEMBL200431
Oc1cc(ccc1Cl)-c1[nH]cnc1-c1ccncc1	CHEMBL200118
Oc1cc(ccc1Cl)-c1[nH]c(nc1-c1ccncc1)-c1ccco1	CHEMBL371952
Oc1cc(ccc1CN=O)-c1[nH]c(nc1-c1ccncc1)-c1ccccc1	CHEMBL200942
CN(C)CCCNC(=O)c1nc(c([nH]1)-c1ccc(Cl)c(O)c1)-c1ccncc1	CHEMBL426476
CC(C)(CN)c1nc(c([nH]1)-c1ccc(Cl)c(O)c1)-c1ccncc1	CHEMBL200889
CC(N=O)c1ccc(cc1)-c1[nH]c(nc1-c1ccncc1)-c1ccccc1	CHEMBL200637
OCc1ccc(cc1Cl)-c1[nH]c(nc1-c1ccncc1)-c1ccccc1	CHEMBL435744
OCc1ccc(cc1)-c1[nH]c(nc1-c1ccncc1)-c1ccccc1	CHEMBL200226
COc1ccc(C2=N[C@@H]([C@@H](N2C(=O)N2CCNC(=O)C2)c2ccc(Cl)cc2)c2ccc(Cl)cc2)c(OC(C)C)c1	CHEMBL2152332
CC1(C)O[C@H]2[C@@H]3OS(=O)(=O)O[C@@H]3CO[C@@]2(CNS(N)(=O)=O)O1	CHEMBL177425
COc1ccc(NS(N)(=O)=O)cc1	CHEMBL165878
CC1(C)OCC(CNS(N)(=O)=O)O1	CHEMBL378292
CC1(C)O[C@H]2[C@@H]3OS(=O)(=O)O[C@@H]3CO[C@@]2(COS(N)(=O)=O)O1	CHEMBL417656
CC1(C)O[C@@H]2CO[C@@]3(CNS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1	CHEMBL283695
CC1(C)OCC(COS(N)(=O)=O)O1	CHEMBL172215
NS(=O)(=O)Nc1ccc(cc1)[N+]([O-])=O	CHEMBL168778
NS(=O)(=O)NCC1CCc2ccccc2O1	CHEMBL175644
NS(=O)(=O)OCC1CCc2ccccc2O1	CHEMBL180475
NS(=O)(=O)Oc1ccccc1	CHEMBL24259
NS(=O)(=O)Nc1ccccc1	CHEMBL168514
CC[C@H](C)[C@H](NC(=O)[C@H](CS)NC(=O)[C@@H](NC(=O)[C@H](Cc1cn(C)c2ccccc12)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CS)NC(=O)[C@@H](N)[C@@H](C)O)C(C)C)C(=O)OC	CHEMBL1791380
CC[C@H](C)[C@H](NC(=O)[C@H](CS)NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CS)NC(=O)[C@@H](N)[C@@H](C)O)C(C)C)C(=O)OC	CHEMBL1791381
